Enemy planes in range:,566,,,,,,,,,,,Friendly planes shot max epochs:,29,,,,,,
Friendly planes shot max epochs:,121,,,,,,,,,,,Enemy planes shot no response:,345,,,,,,
Enemy planes shot no response:,0,,,,,,,,,,,Enemy planes shot epoch counter:,19,,,,,,
Enemy planes shot epoch counter:,395,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
Total of planes generated:,1000,,Number of epochs,turret confidence level,,,,,,,,Friendly planes generated,,243,,8,1,0.5,"[5,1,5,5,5,9]"
Friendly planes generated,,250,,2,1,,,,,,,,Enemy planes generated,,757,,,,
Enemy planes generated,,750,,,,,,,,,,,Friendly planes in range:,243,,,,,
Friendly planes in range:,183,,,,,,,,,,,Enemy planes in range:,757,,,,,,
Enemy planes in range:,560,,,,,,,,,,,Friendly planes shot max epochs:,25,,,,,,
Friendly planes shot max epochs:,144,,,,,,,,,,,Enemy planes shot no response:,291,,,,,,
Enemy planes shot no response:,0,,,,,,,,,,,Enemy planes shot epoch counter:,35,,,,,,
Enemy planes shot epoch counter:,442,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
,,,,,,,,,,,,Friendly planes generated,,241,,8,1,0.6,"[5,1,5,5,5,9]"
##########################################################################################,,,,,,,,,,,,Enemy planes generated,,759,,,,,
TCP,,,,,,,,,,,,Friendly planes in range:,241,,,,,,
Scenario 1,,,,Scenario 2,,,,,,,,Enemy planes in range:,759,,,,,,
Location,"[5,1,5,5,5,9]",,,Location,"[5,1,5,5,5,9]",,,,,,,Friendly planes shot max epochs:,22,,,,,,
Total of planes generated: ,1000,,,Total of planes generated,1000,,,,,,,Enemy planes shot no response:,170,,,,,,
Friendly planes generated;,219,,,Friendly planes generated,268,,,,,,,Enemy planes shot epoch counter:,52,,,,,,
Enemy planes generated;,781,,,Enemy planes generated,732,,,,,,,,,,,,,,
Friendly planes in range:,219,,,Friendly planes in range,268,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
Enemy planes in range:,781,,,Enemy planes in range,732,,,,,,,Friendly planes generated,,253,,8,1,0.7,"[5,1,5,5,5,9]"
Friendly planes shot max epochs: ,129,,,Friendly planes shot max epochs,64,,,,,,,Enemy planes generated,,747,,,,,
Enemy planes shot no response:,342,,,Enemy planes shot no response,531,,,,,,,Friendly planes in range:,253,,,,,,
Enemy planes shot epoch counter: ,232,,,Enemy planes shot epoch counter,7,,,,,,,Enemy planes in range:,747,,,,,,
Number of epochs,4,,,Number of epochs,8,,,,,,,Friendly planes shot max epochs:,22,,,,,,
turret confidence level,1,,,turret confidence level,1,,,,,,,Enemy planes shot no response:,73,,,,,,
,,,,,,,,,,,,Enemy planes shot epoch counter:,59,,,,,,
Total of planes generated:,1000,,,Total of planes generated,1000,,,,,,,,,,,,,,
Friendly planes generated;,247,,,Friendly planes generated,241,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
Enemy planes generated;,753,,,Enemy planes generated,759,,,,,,,Friendly planes generated,,245,,8,1,0.8,"[5,1,5,5,5,9]"
Friendly planes in range:,247,,,Friendly planes in range,241,,,,,,,Enemy planes generated,,755,,,,,
Enemy planes in range:,753,,,Enemy planes in range,759,,,,,,,Friendly planes in range:,245,,,,,,
Friendly planes shot max epochs:,49,,,Friendly planes shot max epochs,28,,,,,,,Enemy planes in range:,755,,,,,,
Enemy planes shot no response:,556,,,Enemy planes shot no response,443,,,,,,,Friendly planes shot max epochs:,10,,,,,,
Enemy planes shot epoch counter:,10,,,Enemy planes shot epoch counter,40,,,,,,,Enemy planes shot no response:,28,,,,,,
Number of epochs,8,,,Number of epochs,8,,,,,,,Enemy planes shot epoch counter:,30,,,,,,
turret confidence level,1,,,turret confidence level,2,,,,,,,,,,,,,,
,,,,,,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
Location,"[0,1,5,5,9,9]",,,Location,"[0,1,5,5,9,9]",,,,,,,Friendly planes generated,,234,,8,1,0.9,"[5,1,5,5,5,9]"
Total of planes generated,1000,,,Total of planes generated,1000,,,,,,,Enemy planes generated,,766,,,,,
Friendly planes generated,256,,,Friendly planes generated,233,,,,,,,Friendly planes in range:,234,,,,,,
Enemy planes generated,744,,,Enemy planes generated,767,,,,,,,Enemy planes in range:,766,,,,,,
Friendly planes in range,179,,,Friendly planes in range,178,,,,,,,Friendly planes shot max epochs:,2,,,,,,
Enemy planes in range,554,,,Enemy planes in range,571,,,,,,,Enemy planes shot no response:,0,,,,,,
Friendly planes shot max epochs,114,,,Friendly planes shot max epochs,37,,,,,,,Enemy planes shot epoch counter:,10,,,,,,
Enemy planes shot no response,184,,,Enemy planes shot no response,433,,,,,,,,,,,,,,
Enemy planes shot epoch counter,280,,,Enemy planes shot epoch counter,6,,,,,,,Total of planes generated:,1000,Scenario 3,Number of epochs,turret confidence level,failure prob.,turrets at,
Number of epochs,4,,,Number of epochs,8,,,,,,,Friendly planes generated,,237,,8,1,1,"[5,1,5,5,5,9]"
turret confidence level,1,,,turret confidence level,1,,,,,,,Enemy planes generated,,763,,,,,
,,,,,,,,,,,,Friendly planes in range:,237,,,,,,
Total of planes generated,1000,,,Total of planes generated,1000,,,,,,,Enemy planes in range:,763,,,,,,
Friendly planes generated,231,,,Friendly planes generated,259,,,,,,,Friendly planes shot max epochs:,0,,,,,,
Enemy planes generated,769,,,Enemy planes generated,741,,,,,,,Enemy planes shot no response:,0,,,,,,
Friendly planes in range,181,,,Friendly planes in range,200,,,,,,,Enemy planes shot epoch counter:,0,,,,,,
Enemy planes in range,572,,,Enemy planes in range,573,,,,,,,,,,,,,,
Friendly planes shot max epochs,22,,,Friendly planes shot max epochs,24,,,,,,,,,,,,,,
Enemy planes shot no response,457,,,Enemy planes shot no response,336,,,,,,,,,,,,,,
Enemy planes shot epoch counter,8,,,Enemy planes shot epoch counter,32,,,,,,,,,,,,,,
Number of epochs,8,,,Number of epochs,8,,,,,,,,,,,,,,
turret confidence level,1,,,turret confidence level,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,"[3,1,3,4,3,7]",,,Location,"[3,1,3,4,3,7]",,,,,,,,,,,,,,
Total of planes generated,1000,,,Total of planes generated,1000,,,,,,,,,,,,,,
Friendly planes generated,260,,,Friendly planes generated,252,,,,,,,,,,,,,,
Enemy planes generated,740,,,Enemy planes generated,748,,,,,,,,,,,,,,
Friendly planes in range,230,,,Friendly planes in range,222,,,,,,,,,,,,,,
Enemy planes in range,646,,,Enemy planes in range,657,,,,,,,,,,,,,,
Friendly planes shot max epochs,125,,,Friendly planes shot max epochs,31,,,,,,,,,,,,,,
Enemy planes shot no response,333,,,Enemy planes shot no response,519,,,,,,,,,,,,,,
Enemy planes shot epoch counter,182,,,Enemy planes shot epoch counter,15,,,,,,,,,,,,,,
Number of epochs,4,,,Number of epochs,8,,,,,,,,,,,,,,
turret confidence level,1,,,turret confidence level,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Total of planes generated,1000,,,Total of planes generated,1000,,,,,,,,,,,,,,
Friendly planes generated,246,,,Friendly planes generated,242,,,,,,,,,,,,,,
Enemy planes generated,754,,,Enemy planes generated,758,,,,,,,,,,,,,,
Friendly planes in range,212,,,Friendly planes in range,216,,,,,,,,,,,,,,
Enemy planes in range,654,,,Enemy planes in range,653,,,,,,,,,,,,,,
Friendly planes shot max epochs,36,,,Friendly planes shot max epochs,45,,,,,,,,,,,,,,
Enemy planes shot no response,479,,,Enemy planes shot no response,391,,,,,,,,,,,,,,
Enemy planes shot epoch counter,20,,,Enemy planes shot epoch counter,40,,,,,,,,,,,,,,
Number of epochs,8,,,Number of epochs,8,,,,,,,,,,,,,,
turret confidence level,1,,,turret confidence level,2,,,,,,,,,,,,,,
